id,name,name_fr,ra_deg,dec_deg,type,size_arcmin
NGC6822,Barnard's Galaxy,,,,,
NGC2360,Caroline's Cluster,,,,,
NGC3242,Ghost of Jupiter,,,,,
NGC4038,Antennae Galaxies,,,,,
NGC4039,Antennae Galaxies,,,,,
NGC7293,Helix Nebula,,,,,
NGC2362,Tau Canis Majoris Cluster,,,,,
NGC253,Sculptor Galaxy,,,,,
NGC6302,Bug Nebula,,,,,
NGC3132,Southern Ring Nebula,,,,,
NGC5128,Centaurus A,,,,,
NGC5139,Omega Centauri,,,,,
NGC104,47 Tucanae,,,,,
NGC2070,Tarantula Nebula,,,,,
NGC3372,Carina Nebula,,,,,
NGC3532,Wishing Well Cluster,,,,,
NGC4755,Jewel Box,,,,,
NGC3766,Pearl Cluster,,,,,
IC2391,Omicron Velorum Cluster,,,,,
NGC457,Owl Cluster,,,,,
NGC869,Double Cluster,,,,,
NGC884,Double Cluster,,,,,
NGC7000,North America Nebula,,,,,
NGC7635,Bubble Nebula,,,,,
NGC6946,Fireworks Galaxy,,,,,
NGC891,NGC 891,,,,,
NGC4244,Silver Needle Galaxy,,,,,
NGC55,NGC 55,,,,,
NGC300,NGC 300,,,,,
NGC6231,Northern Jewel Box,,,,,
NGC7789,Caroline's Rose,,,,,
NGC663,NGC 663,,,,,
NGC752,NGC 752,,,,,
NGC1499,California Nebula,,,,,
NGC281,Pacman Nebula,,,,,
NGC2024,Flame Nebula,,,,,
NGC1977,Running Man Nebula,,,,,
NGC7380,Wizard Nebula,,,,,
NGC7822,Question Mark Nebula,,,,,
NGC6334,Cat's Paw Nebula,,,,,
NGC6357,Lobster Nebula,,,,,
NGC2174,Monkey Head Nebula,,,,,
NGC2359,Thor's Helmet,,,,,
NGC1931,Fly Nebula,,,,,
IC443,Jellyfish Nebula,,,,,
NGC6164,Dragon's Egg Nebula,,,,,
NGC6188,Rim Nebula,,,,,
NGC1514,Crystal Ball Nebula,,,,,
NGC2440,NGC 2440,,,,,
NGC6210,Turtle Nebula,,,,,
NGC6781,Snowglobe Nebula,,,,,
NGC7008,Fetus Nebula,,,,,
NGC7027,Magic Carpet Nebula,,,,,
IC418,Spirograph Nebula,,,,,
IC4406,Retina Nebula,,,,,
NGC6572,Emerald Nebula,,,,,
NGC1365,Great Barred Spiral Galaxy,,,,,
NGC2683,UFO Galaxy,,,,,
NGC3628,Hamburger Galaxy,,,,,
NGC4490,Cocoon Galaxy,,,,,
NGC4725,NGC 4725,,,,,
NGC5746,NGC 5746,,,,,
NGC5907,Splinter Galaxy,,,,,
NGC772,NGC 772,,,,,
NGC925,NGC 925,,,,,
NGC1023,NGC 1023,,,,,
NGC2841,NGC 2841,,,,,
NGC3184,Little Pinwheel Galaxy,,,,,
NGC3198,NGC 3198,,,,,
NGC3938,NGC 3938,,,,,
NGC4395,NGC 4395,,,,,
NGC6503,Lost-in-Space Galaxy,,,,,
NGC6814,NGC 6814,,,,,
NGC7320,Stephan's Quintet,Quintette de Stephan,338.9900,33.9660,Galaxy Group,3.5
NGC1559,NGC 1559,,,,,
NGC2997,NGC 2997,,,,,
NGC3621,NGC 3621,,,,,
NGC4945,NGC 4945,,,,,
NGC7793,NGC 7793,,,,,
NGC4656,Hockey Stick Galaxy,,,,,
NGC3344,NGC 3344,,,,,
NGC3521,Bubble Galaxy,,,,,
NGC1232,Eye of God Galaxy,,,,,
NGC1300,NGC 1300,,,,,
NGC6744,NGC 6744,,,,,
NGC247,NGC 247,,,,,
M1,Crab Nebula,,,,,
M8,Lagoon Nebula,,,,,
M16,Eagle Nebula,,,,,
M17,Omega Nebula,,,,,
M20,Trifid Nebula,,,,,
M27,Dumbbell Nebula,,,,,
M31,Andromeda Galaxy,,,,,
M33,Triangulum Galaxy,,,,,
M42,Orion Nebula,,,,,
M43,De Mairan's Nebula,,,,,
M44,Beehive Cluster,,,,,
M45,Pleiades,,,,,
M51,Whirlpool Galaxy,,,,,
M57,Ring Nebula,,,,,
M63,Sunflower Galaxy,,,,,
M64,Black Eye Galaxy,,,,,
M76,Little Dumbbell Nebula,,,,,
M78,Reflection Nebula M78,,,,,
M81,Bode's Galaxy,,,,,
M82,Cigar Galaxy,,,,,
M97,Owl Nebula,,,,,
M101,Pinwheel Galaxy,,,,,
M104,Sombrero Galaxy,,,,,
M13,Hercules Globular Cluster,,,,,
M3,Messier 3,,,,,
M5,Rose Cluster,,,,,
M11,Wild Duck Cluster,,,,,
M6,Butterfly Cluster,,,,,
M7,Ptolemy Cluster,,,,,
M22,Sagittarius Cluster,,,,,
M24,Sagittarius Star Cloud,,,,,
M2,Messier 2,,,,,
M4,Cat's Eye Cluster,,,,,
M15,Great Pegasus Cluster,,,,,
M80,Messier 80,,,,,
M83,Southern Pinwheel Galaxy,,,,,
M106,Messier 106,,,,,
M108,Surfboard Galaxy,,,,,
M109,Vacuum Cleaner Galaxy,,,,,
M110,Messier 110,,,,,
M32,Messier 32,,,,,
M74,Phantom Galaxy,,,,,
M77,Cetus A,,,,,
M84,Messier 84,,,,,
M87,Virgo A,,,,,
M94,Croc's Eye Galaxy,,,,,
M96,Messier 96,,,,,
M65,Leo Triplet (M65),,,,,
M66,Leo Triplet (M66),,,,,
M58,Messier 58,,,,,
M49,Messier 49,,,,,
M40,Winnecke 4,,,,,
M73,Messier 73,,,,,
M52,Scorpion Cluster,,,,,
M35,Messier 35,,,,,
M36,Pinwheel Cluster,,,,,
M37,Salt-and-Pepper Cluster,,,,,
M38,Starfish Cluster,,,,,
M46,Messier 46,,,,,
M47,Messier 47,,,,,
M50,Heart-shaped Cluster,,,,,
M67,King Cobra Cluster,,,,,
M93,Messier 93,,,,,
M103,Messier 103,,,,,
M34,Spiral Cluster,,,,,
M39,Messier 39,,,,,
M48,Messier 48,,,,,
M41,Little Beehive Cluster,,,,,
M21,Webb's Cross,,,,,
M23,Messier 23,,,,,
M25,Messier 25,,,,,
M18,Black Swan Cluster,,,,,
M9,Messier 9,,,,,
M10,Messier 10,,,,,
M12,Gumball Globular,,,,,
M14,Messier 14,,,,,
M19,Messier 19,,,,,
M28,Messier 28,,,,,
M30,Jellyfish Cluster,,,,,
M53,Messier 53,,,,,
M54,Messier 54,,,,,
M55,Summer Rose Star,,,,,
M56,Messier 56,,,,,
M68,Messier 68,,,,,
M69,Messier 69,,,,,
M70,Messier 70,,,,,
M71,Angelfish Cluster,,,,,
M72,Messier 72,,,,,
M75,Messier 75,,,,,
M79,Messier 79,,,,,
M85,Messier 85,,,,,
M86,Messier 86,,,,,
M88,Messier 88,,,,,
M89,Messier 89,,,,,
M90,Messier 90,,,,,
M91,Messier 91,,,,,
M95,Messier 95,,,,,
M98,Messier 98,,,,,
M99,Coma Pinwheel Galaxy,,,,,
M100,Mirror Galaxy,,,,,
M102,Spindle Galaxy (M102),,,,,
M105,Messier 105,,,,,
M107,Messier 107,,,,,
M26,Messier 26,,,,,
M29,Cooling Tower Cluster,,,,,
M59,Messier 59,,,,,
M60,Messier 60,,,,,
M61,Swelling Spiral,,,,,
M62,Messier 62,,,,,
HCG92,Stephan's Quintet,Quintette de Stephan,338.9900,33.9660,Galaxy Group,3.5
NGC7335,Deer Lick Group,Groupe du Deer Lick,,,Galaxy,
NGC7336,Deer Lick Group,Groupe du Deer Lick,,,Galaxy,
NGC7337,Deer Lick Group,Groupe du Deer Lick,,,Galaxy,
NGC7340,Deer Lick Group,Groupe du Deer Lick,,,Galaxy,
